SCP, SCP_REFERENCE_N, N_OF_OCCUR
1517, 1517, 18
1518, 1518, 20
1519, 1519, 20
1520, 1520, 26
1521, 1521, 44
1522, 1522, 3
1523, 1523, 20
1524, 1524, 6
1525, 1525, 7
1526, 1526, 10
1527, 1527, 8
1528, 1528, 18
1529, 1529, 44
1530, 1530, 17
1531, 1531, 17
1532, 1532, 9
1533, 1533, 28
1534, 1534, 6
1535, 1535, 16
1536, 1536, 32
1537, 1537, 13
1538, 1538, 15
1539, 1539, 11
1540, 1540, 18
1541, 1541, 6
1542, 1542, 15
1543, 1543, 18
1544, 1544, 18
1545, 1545, 16
1546, 1546, 16
1547, 1547, 34
1548, 1548, 17
1548, 3417, 2
1548, 2821, 1
1549, 1549, 20
1550, 1550, 29
1551, 1551, 28
1552, 1552, 23
1553, 1553, 8
1554, 1554, 23
1555, 1555, 9
1556, 1556, 15
1557, 1557, 10
1558, 1558, 11
1559, 1559, 24
1560, 1560, 20
1561, 1561, 11
1562, 1562, 10
1563, 1563, 55
1564, 1564, 12
1564, 271, 2
1565, 1565, 19
1566, 1566, 12
1567, 1567, 5
1568, 1568, 38
1569, 1569, 32
1570, 1570, 12
1571, 1571, 17
1572, 1572, 25
1573, 1573, 26
1574, 1574, 21
1575, 1575, 9
1576, 1576, 16
1577, 1577, 3
1578, 1578, 18
1579, 1579, 16
1580, 1580, 9
1581, 1581, 22
1582, 1582, 20
1583, 1583, 31
1584, 1584, 7
1585, 1585, 27
1586, 1586, 7
1587, 1587, 16
1588, 1588, 36
1589, 1589, 16
1590, 1590, 7
1591, 1591, 19
1592, 1592, 16
1593, 1593, 14
1594, 1594, 21
1595, 1595, 9
1596, 1596, 26
1597, 1597, 12
1598, 1598, 39
1599, 1599, 20
1600, 1600, 2
1601, 1601, 13
1602, 1602, 40
1603, 1603, 8
1604, 1604, 10
1605, 1605, 5
1606, 1606, 16
1607, 1607, 20
1608, 1608, 20
1609, 1609, 50
1610, 1610, 5
1611, 1611, 18
1612, 1612, 16
1613, 1613, 23
1614, 1614, 12
1615, 1615, 36
1616, 1616, 27
1617, 1617, 10
1618, 1618, 12
1619, 1619, 16
1620, 1620, 17
1621, 1621, 17
1622, 1622, 20
1623, 1623, 9
1624, 1624, 8
1625, 1625, 18
1626, 1626, 19
1627, 1627, 23
1628, 1628, 34
1629, 1629, 2
1630, 1630, 24
1631, 1631, 12
1632, 1632, 18
1633, 1633, 13
1634, 1634, 19
1635, 1635, 22
1636, 1636, 27
1637, 1637, 12
1638, 1638, 13
1639, 1639, 11
1640, 1640, 19
1641, 1641, 21
1642, 1642, 9
1643, 1643, 15
1644, 1644, 13
1645, 1645, 19
1646, 1646, 2
1647, 1647, 22
1648, 1648, 16
1649, 1649, 18
1650, 1650, 12
1651, 1651, 22
1652, 1652, 20
1653, 1653, 2
1654, 1654, 6
1655, 1655, 12
1656, 1656, 6
1657, 1657, 8
1658, 1658, 29
1659, 1659, 54
1660, 1660, 2
1661, 1661, 21
1662, 1662, 22
1663, 1663, 7
1664, 1664, 19
1665, 1665, 11
1666, 1666, 13
1667, 1667, 28
1668, 1668, 10
1669, 1669, 25
1670, 1670, 8
1671, 1671, 15
1672, 1672, 12
1673, 1673, 14
1674, 1674, 14
1675, 1675, 23
1676, 1676, 3
1677, 1677, 10
1678, 1678, 27
1679, 1679, 17
1680, 1680, 23
1681, 1681, 16
1682, 1682, 16
1683, 1683, 29
1684, 1685, 1
1684, 1684, 14
1685, 1685, 17
1686, 1686, 21
1687, 1687, 14
1688, 1688, 26
1689, 1689, 14
1690, 1690, 33
1691, 1691, 19
1692, 1692, 5
1693, 1693, 7
1694, 1694, 20
1695, 1695, 2
1696, 1696, 10
1697, 1697, 23
1698, 1698, 9
1699, 1699, 40
1700, 1700, 4
1701, 1701, 14
1702, 1702, 17
1703, 1703, 11
1704, 1704, 19
1705, 1705, 24
1706, 1706, 10
1707, 1707, 16
1708, 1708, 14
1709, 1709, 25
1710, 1710, 10
1711, 1711, 6
1712, 1712, 5
1713, 1713, 14
1714, 1714, 16
1715, 1715, 28
1716, 1716, 22
1717, 1717, 8
1718, 1718, 4
1718, 76, 1
1719, 1719, 20
1720, 1720, 23
1721, 1721, 16
1722, 1722, 7
1723, 1723, 14
1724, 1724, 18
1725, 1725, 16
1726, 1726, 22
1727, 1727, 14
1728, 1728, 22
1729, 1729, 31
1730, 1730, 53
1731, 1731, 16
1732, 1732, 28
1733, 1733, 15
1734, 1734, 6
1735, 1735, 14
1736, 1736, 8
1736, 719, 9
1737, 1737, 13
1738, 1738, 17
1739, 1739, 17
1740, 1740, 15
1741, 1741, 5
1742, 1742, 8
1743, 1743, 15
1744, 1744, 9
1745, 1745, 16
1746, 1746, 17
1747, 1747, 4
1748, 1748, 15
1749, 1749, 3
1750, 1750, 14
1751, 1751, 37
1752, 1752, 4
1753, 1753, 9
1754, 1754, 32
1755, 1755, 33
1756, 1756, 9
1757, 1757, 9
1758, 1758, 18
1759, 1759, 23
1760, 1760, 16
1761, 1761, 2
1762, 1762, 2
1763, 1763, 10
1764, 1764, 1
1765, 1765, 16
1766, 1766, 9
1767, 1767, 20
1768, 1768, 12
1769, 1769, 8
1770, 1770, 26
1771, 1771, 18
1772, 1772, 11
1773, 1773, 16
1774, 1774, 10
1775, 1775, 14
1776, 1776, 22
1777, 1777, 3
1778, 1778, 36
1779, 1779, 23
1780, 1780, 16
1781, 1781, 12
1782, 1782, 16
1783, 1783, 28
1784, 1784, 22
1785, 1785, 3
1786, 1786, 24
1787, 1787, 2
1788, 1788, 9
1789, 1789, 19
1790, 1790, 33
1791, 1791, 4
1792, 1792, 60
1793, 1793, 18
1794, 1794, 15
1795, 1795, 55
1796, 1796, 15
1797, 1797, 7
1798, 1798, 12
1799, 1799, 13
1800, 1800, 26
1801, 1801, 24
1802, 1802, 17
1803, 1803, 17
1804, 1804, 23
1805, 1805, 47
1806, 1806, 8
1807, 1807, 10
1808, 1808, 14
1809, 1809, 7
1810, 1810, 31
1811, 1811, 10
1812, 1812, 40
1813, 1813, 22
1814, 1814, 7
1815, 1815, 24
1816, 1816, 10
1817, 1817, 19
1818, 1818, 8
1819, 1819, 7
1820, 1820, 21
1821, 1821, 24
1822, 1822, 23
1822, 536, 6
1822, 2400, 1
1822, 2700, 1
1823, 1823, 19
1824, 1824, 17
1825, 1825, 16
1826, 1826, 21
1827, 1827, 24
1828, 1828, 16
1829, 1829, 21
1830, 1830, 3
1831, 1831, 7
1832, 1832, 18
1833, 1833, 9
1834, 1834, 20
1835, 1835, 16
1836, 1836, 52
1837, 1837, 16
1838, 1838, 19
1839, 1839, 9
1840, 1840, 21
1841, 1841, 19
1842, 1842, 6
1843, 1843, 24
1844, 1844, 25
1844, 2167, 1
1845, 1845, 15
1846, 1846, 22
1847, 1847, 38
1848, 1848, 42
1848, 652, 1
1848, 530, 1
1848, 2091, 1
1849, 1849, 18
1850, 1850, 19
1851, 1851, 29
1852, 1852, 8
1853, 1853, 18
1854, 1854, 8
1855, 1855, 19
1856, 1856, 10
1857, 1857, 16
1858, 1858, 12
1859, 1859, 16
1860, 1860, 32
1861, 1861, 17
1862, 1862, 18
1863, 1863, 6
1864, 1864, 17
1865, 1865, 24
1866, 1866, 28
1867, 1867, 13
1868, 1868, 27
1869, 1869, 18
1870, 1870, 20
1871, 1871, 18
1872, 1872, 23
1873, 1873, 12
1874, 1874, 22
1875, 1875, 18
1876, 1876, 18
1877, 1877, 5
1878, 1878, 23
1879, 1879, 5
1880, 1880, 15
1881, 1881, 7
1882, 1882, 12
1883, 1883, 15
1884, 1884, 3
1885, 1885, 16
1886, 1886, 15
1887, 1887, 15
1888, 1888, 13
1889, 1889, 8
1890, 1890, 7
1891, 1891, 14
1892, 1892, 14
1893, 1893, 15
1894, 1894, 18
1895, 1895, 18
1896, 1896, 14
1897, 1897, 20
1898, 1898, 15
1899, 1899, 9
1900, 1900, 28
1901, 1901, 14
1902, 1902, 31
1903, 1903, 50
1904, 1904, 9
1905, 1905, 19
1906, 1906, 25
1907, 1907, 18
1908, 1908, 17
1909, 1909, 19
1910, 1910, 10
1911, 1911, 35
1912, 1912, 11
1913, 1913, 14
1914, 1914, 12
1915, 1915, 22
1916, 1916, 13
1917, 1917, 22
1918, 1918, 28
1919, 1919, 10
1920, 1920, 20
1921, 1921, 8
1922, 1922, 27
1923, 1923, 18
1924, 1924, 30
1925, 1925, 4
1926, 1926, 22
1927, 1927, 14
1928, 1928, 22
1928, 1890, 2
1929, 1929, 17
1930, 1930, 19
1931, 1931, 13
1932, 1932, 15
1933, 1933, 10
1934, 1934, 9
1935, 1935, 14
1936, 1936, 14
1937, 1937, 13
1938, 1938, 14
1939, 1939, 17
1940, 1940, 17
1941, 1941, 8
1941, 155, 3
1942, 1942, 29
1943, 1943, 2
1944, 1944, 13
1945, 1945, 15
1946, 1946, 21
1947, 1947, 47
1948, 1948, 14
1949, 1949, 5
1950, 1950, 6
1951, 1951, 7
1952, 1952, 17
1953, 1953, 6
1954, 1954, 10
1955, 1955, 11
1956, 1956, 9
1957, 1957, 22
1958, 1958, 15
1959, 1959, 12
1960, 1960, 15
1961, 1961, 15
1962, 1962, 21
1963, 1963, 16
1964, 1964, 6
1965, 1965, 23
1966, 1966, 26
1967, 1967, 19
1968, 1968, 9
1969, 1969, 21
1970, 1970, 11
1971, 1971, 9
1972, 1972, 2
1973, 1973, 6
1974, 1974, 12
1975, 1975, 11
1976, 1976, 15
1977, 1977, 13
1978, 1978, 16
1979, 1979, 15
1980, 1980, 18
1981, 1981, 16
1982, 1982, 20
1983, 1983, 6
1984, 1984, 20
1985, 1985, 66
1986, 1986, 6
1987, 1987, 33
1988, 1988, 10
1989, 1989, 9
1990, 1990, 19
1991, 1991, 22
1992, 1992, 20
1993, 1993, 21
1994, 1994, 6
1995, 1995, 9
1996, 1996, 20
1997, 1997, 17
1998, 1998, 16
1999, 1999, 17
2000, 2000, 29
2001, 2001, 29
2002, 2002, 31
2003, 2003, 27
2004, 2004, 9
2005, 2005, 10
2006, 2006, 26
2007, 2007, 21
2008, 2008, 8
2009, 2009, 5
2010, 2010, 10
2011, 2011, 13
2012, 2012, 20
2013, 2013, 31
2013, 2000, 2
2014, 2014, 14
2015, 2015, 12
2016, 2016, 2
2017, 2017, 18
2018, 2018, 6
2019, 2019, 42
2020, 2020, 11
2021, 2021, 8
2022, 2022, 18
2023, 2023, 9
2024, 2024, 29
2025, 2025, 13
2026, 2026, 10
2027, 2027, 32
2028, 2028, 11
2029, 2029, 6
2030, 2030, 15
2031, 2031, 24
2032, 2032, 34
2032, 500, 1
2033, 2033, 21
2034, 2034, 20
2035, 2035, 18
2036, 2036, 8
2037, 2037, 18
2038, 2038, 14
2039, 2039, 13
2040, 2040, 23
2041, 2041, 11
2042, 2042, 8
2043, 2043, 26
2044, 2044, 3
2045, 2045, 43
2046, 2046, 16
2047, 2047, 12
2048, 2048, 31
2049, 2049, 4
2050, 2050, 37
2050, 1845, 1
2051, 2051, 8
2052, 2052, 18
2053, 2053, 4
2054, 2054, 15
2055, 2055, 14
2056, 2056, 20
2057, 2057, 10
2058, 2058, 32
2059, 2059, 24
2060, 2060, 24
2061, 2061, 17
2062, 2062, 4
2063, 2063, 30
2064, 2064, 5
2065, 2065, 10
2066, 2066, 14
2067, 2067, 22
2068, 2068, 22
2069, 2069, 8
2070, 2070, 6
2071, 2071, 18
2072, 2072, 10
2073, 2073, 25
2074, 2074, 14
2075, 2075, 34
2076, 2076, 10
2076, 4298, 1
2077, 2077, 32
2078, 2078, 16
2079, 2079, 14
2080, 2080, 11
2081, 2081, 11
2082, 2082, 20
2083, 2083, 20
2084, 2084, 9
2085, 2085, 12
2086, 2086, 22
2087, 2087, 6
2088, 2088, 10
2089, 2089, 6
2090, 2090, 21
2091, 2091, 6
2092, 2092, 12
2093, 2093, 14
2094, 2094, 43
2095, 2095, 18
2096, 2096, 26
2097, 2097, 10
2098, 2098, 30
2099, 2099, 8
2100, 2100, 14
2101, 2101, 17
2102, 2102, 17
2103, 2103, 29
2104, 2104, 2
2105, 2105, 15
2106, 2106, 2
2107, 2107, 24
2108, 2108, 17
2109, 2109, 24
2110, 2110, 28
2111, 2111, 4
2112, 2112, 27
2113, 2113, 9
2114, 2114, 27
2115, 2115, 18
2116, 2116, 43
2117, 2117, 22
2118, 2118, 43
2119, 2119, 33
2120, 2120, 16
2121, 2121, 17
2122, 2122, 22
2123, 2123, 23
2124, 2124, 25
2125, 2125, 8
2126, 2126, 10
2127, 2127, 19
2128, 2128, 14
2129, 2129, 14
2130, 2130, 26
2131, 2131, 18
2132, 2132, 11
2133, 2133, 18
2134, 2134, 19
2134, 181, 1
2135, 2135, 11
2136, 2136, 9
2136, 2218, 1
2137, 2137, 20
2138, 2138, 13
2139, 2139, 12
2139, 2604, 1
2139, 2366, 1
2140, 2140, 8
2141, 2141, 43
2142, 2142, 24
2143, 2143, 29
2144, 2144, 38
2145, 2145, 16
2146, 2146, 13
2147, 2147, 9
2147, 47, 1
2148, 2148, 17
2149, 2149, 26
2150, 2150, 42
2151, 2151, 3
2151, 427, 1
2152, 2152, 15
2153, 2153, 5
2154, 2154, 9
2155, 2155, 13
2156, 2156, 22
2157, 2157, 21
2158, 2158, 5
2159, 2159, 48
2160, 2160, 16
2161, 2161, 2
2162, 2162, 15
2163, 2163, 14
2164, 2164, 20
2165, 2165, 7
2166, 2166, 14
2167, 2167, 24
2168, 2168, 7
2169, 2169, 10
2170, 2170, 22
2171, 2171, 26
2172, 2172, 9
2173, 2173, 37
2174, 2174, 12
2175, 2175, 10
2176, 2176, 12
2177, 2177, 18
2178, 2178, 26
2179, 2179, 11
2180, 2180, 18
2181, 2181, 35
2182, 2182, 2
2183, 2183, 18
2184, 2184, 46
2185, 2185, 22
2186, 2186, 31
2187, 2187, 7
2188, 2188, 16
2189, 2189, 15
2190, 2190, 20
2191, 2191, 23
2192, 2192, 36
2193, 2193, 6
2194, 2194, 36
2195, 2195, 18
2196, 2196, 7
2197, 2197, 15
2198, 2198, 15
2199, 2199, 10
2200, 2200, 5
2201, 2201, 14
2202, 2202, 38
2203, 2203, 18
2204, 2204, 26
2205, 2205, 9
2206, 2206, 25
2207, 2207, 10
2208, 2208, 12
2209, 2209, 2
2210, 2210, 28
2211, 2211, 6
2212, 2212, 2
2213, 2213, 7
2214, 2214, 19
2215, 2215, 16
2215, 87, 1
2216, 2216, 9
2216, 1999, 1
2217, 2217, 38
2217, 610, 5
2218, 2218, 21
2218, 2136, 1
2219, 2219, 9
2220, 2220, 3
2221, 2221, 16
2222, 2222, 42
2223, 2223, 48
2224, 2224, 6
2225, 2225, 27
2226, 2226, 35
2227, 2227, 7
2228, 2228, 39
2229, 2229, 22
2230, 2230, 19
2231, 2231, 18
2232, 2232, 21
2233, 2233, 4
2234, 2234, 11
2234, 2, 1
2234, 2030, 1
2234, 993, 2
2235, 2235, 3
2236, 2236, 12
2237, 2237, 32
2238, 2238, 9
2239, 2239, 33
2240, 2240, 2
2241, 2241, 58
2242, 2242, 9
2243, 2243, 12
2244, 2244, 2
2245, 2245, 11
2246, 2246, 8
2247, 2247, 34
2248, 2248, 17
2248, 2995, 1
2249, 2249, 32
2250, 2250, 12
2251, 2251, 18
2252, 2252, 10
2253, 2253, 18
2254, 2254, 2
2255, 2255, 19
2256, 2256, 15
2257, 2257, 9
2258, 2258, 28
2259, 2259, 6
2260, 2260, 32
2261, 2261, 7
2262, 2262, 7
2263, 2263, 12
2264, 2264, 7
2265, 2265, 18
2266, 2266, 6
2267, 2267, 5
2268, 2268, 7
2269, 2269, 4
2270, 2270, 11
2271, 2271, 13
2272, 2272, 6
2273, 2273, 23
2274, 2274, 18
2275, 2275, 19
2276, 2276, 25
2276, 2362, 2
2276, 736, 2
2276, 2886, 1
2277, 2277, 20
2278, 2278, 9
2279, 2279, 14
2280, 2280, 18
2281, 2281, 13
2282, 2282, 19
2283, 2283, 24
2284, 2284, 51
2284, 2148, 10
2285, 2285, 14
2286, 2286, 5
2287, 2287, 15
2288, 2288, 27
2289, 2289, 8
2290, 2290, 4
2291, 2291, 29
2292, 2292, 44
2293, 2293, 20
2294, 2294, 18
2295, 2295, 25
2296, 2296, 22
2297, 2297, 20
2298, 2298, 15
2299, 2299, 18
2300, 2300, 29
2301, 2301, 32
2302, 2302, 10
2303, 2303, 18
2304, 2304, 10
2305, 2305, 8
2305, 2740, 1
2305, 2190, 4
2305, 2135, 1
2305, 1679, 2
2305, 1138, 5
2305, 499, 2
2306, 2306, 18
2307, 2307, 7
2308, 2308, 6
2309, 2309, 23
2310, 2310, 20
2311, 2311, 22
2312, 2312, 12
2313, 2313, 8
2314, 2314, 21
2315, 2315, 18
2316, 2316, 22
2317, 2317, 57
2318, 2318, 22
2319, 2319, 19
2320, 2320, 11
2321, 2321, 4
2322, 2322, 31
2323, 2323, 10
2324, 2324, 5
2325, 2325, 18
2325, 2122, 1
2326, 2326, 3
2327, 2327, 38
2328, 2328, 19
2329, 2329, 20
2330, 2330, 17
2331, 2331, 36
2332, 2332, 17
2333, 2333, 17
2334, 2334, 6
2334, 2626, 3
2335, 2335, 12
2336, 2336, 8
2337, 2337, 24
2338, 2338, 10
2338, 38, 1
2339, 2339, 5
2340, 2340, 28
2341, 2341, 21
2342, 2342, 9
2343, 2343, 13
2344, 2344, 19
2345, 2345, 14
2346, 2346, 15
2347, 2347, 20
2348, 2348, 16
2349, 2349, 19
2350, 2350, 21
2351, 2351, 10
2352, 2352, 12
2353, 2353, 31
2354, 2354, 10
2355, 2355, 9
2356, 2356, 16
2357, 2357, 16
2358, 2358, 17
2359, 2359, 46
2360, 2360, 16
2361, 2361, 9
2362, 2362, 33
2363, 2363, 17
2364, 2364, 27
2365, 2365, 13
2366, 2366, 26
2367, 2367, 8
2368, 2368, 20
2369, 2369, 17
2370, 2370, 23
2371, 2371, 6
2372, 2372, 30
2373, 2373, 13
2374, 2374, 6
2375, 2375, 18
2376, 2376, 13
2376, 2218, 1
2377, 2377, 21
2378, 2378, 23
2379, 2379, 29
2380, 2380, 18
2381, 2381, 21
2382, 2382, 13
2383, 2383, 10
2384, 2384, 15
2385, 2385, 19
2386, 2386, 22
2387, 2387, 17
2388, 2388, 11
2389, 2389, 15
2390, 2390, 7
2391, 2391, 13
2392, 2392, 13
2393, 2393, 3
2394, 2394, 33
2395, 2395, 11
2396, 2396, 23
2397, 2397, 19
2398, 2398, 25
2399, 2399, 40
2400, 2400, 15
2400, 2700, 1
2401, 2401, 26
2402, 2402, 7
2402, 1668, 1
2403, 2403, 9
2404, 2404, 3
2405, 2405, 28
2406, 2406, 22
2407, 2407, 22
2408, 2408, 5
2409, 2409, 6
2410, 2410, 17
2411, 2411, 40
2412, 2412, 37
2413, 2413, 6
2414, 2414, 24
2415, 2415, 10
2416, 2416, 9
2417, 2417, 34
2418, 2418, 7
2419, 2419, 5
2419, 4054, 1
2420, 2420, 25
2421, 2421, 8
2422, 2422, 20
2423, 2423, 18
2424, 2424, 28
2425, 2425, 27
2425, 1425, 2
2426, 2426, 23
2427, 2427, 7
2427, 2128, 2
2428, 2428, 15
2428, 1212, 8
2429, 2429, 25
2430, 2430, 10
2431, 2431, 21
2431, 2378, 1
2432, 2432, 22
2433, 2433, 15
2434, 2434, 4
2435, 2435, 2
2436, 2436, 4
2437, 2437, 37
2438, 2438, 26
2439, 2439, 2
2440, 2440, 24
2441, 2441, 11
2442, 2442, 39
2443, 2443, 25
2444, 2444, 23
2445, 2445, 22
2446, 2446, 7
2446, 148, 1
2447, 2447, 22
2448, 2448, 17
2449, 2449, 17
2450, 2450, 13
2451, 2451, 18
2452, 2452, 20
2453, 2453, 32
2453, 2672, 2
2454, 2454, 13
2455, 2455, 24
2456, 2456, 30
2456, 1425, 2
2457, 2457, 13
2458, 2458, 10
2459, 2459, 11
2460, 2460, 35
2461, 2461, 10
2462, 2462, 18
2463, 2463, 18
2464, 2464, 5
2465, 2465, 26
2466, 2466, 9
2467, 2467, 56
2468, 2468, 18
2469, 2469, 7
2470, 2470, 17
2471, 2471, 10
2472, 2472, 19
2473, 2473, 15
2474, 2474, 33
2475, 2475, 7
2476, 2476, 20
2477, 2477, 14
2478, 2478, 28
2479, 2479, 16
2480, 2480, 23
2481, 2481, 20
2482, 2482, 8
2483, 2483, 29
2484, 2484, 10
2485, 2485, 28
2486, 2486, 14
2486, 158, 4
2486, 832, 1
2486, 1379, 1
2486, 1528, 1
2486, 228, 1
2486, 2221, 1
2486, 978, 1
2486, 1724, 2
2487, 2487, 5
2488, 2488, 23
2489, 2489, 13
2490, 2490, 23
2491, 2491, 9
2492, 2492, 19
2493, 2493, 3
2494, 2494, 6
2495, 2495, 13
2496, 2496, 17
2497, 2497, 14
2498, 2498, 33
2499, 2499, 19
2500, 2500, 4
2501, 2501, 23
2502, 2502, 6
2503, 2503, 18
2504, 2504, 13
2505, 2505, 2
2506, 2506, 18
2507, 2507, 24
2508, 2508, 20
2509, 2509, 10
2510, 2510, 10
2511, 2511, 5
2512, 2512, 32
2513, 2513, 26
2514, 2514, 13
2515, 2515, 4
2516, 2516, 2
2517, 2517, 31
2518, 2518, 3
2519, 2519, 27
2519, 629, 1
2519, 2412, 2
2520, 2520, 4
2521, 2521, 1
2522, 2522, 26
2523, 2523, 7
2524, 2524, 12
2525, 2525, 57
2526, 2526, 29
2527, 2527, 2
2528, 2528, 12
2529, 2529, 27
2530, 2530, 14
2531, 2531, 23
2532, 2532, 12
2533, 2533, 13
2534, 2534, 7
2535, 2535, 13
2536, 2536, 23
2537, 2537, 10
2538, 2538, 11
2539, 2539, 8
2540, 2540, 28
2541, 2541, 17
2542, 2542, 26
2543, 2543, 24
2543, 419, 1
2544, 2544, 26
2545, 2545, 36
2546, 2546, 23
2546, 2559, 1
2547, 2547, 23
2548, 2548, 25
2549, 2549, 11
2550, 2550, 29
2551, 2551, 30
2552, 2552, 31
2553, 2553, 25
2554, 2554, 40
2555, 2555, 20
2556, 2556, 28
2557, 2557, 7
2558, 2558, 21
2559, 2559, 14
2560, 2560, 4
2561, 2561, 11
2562, 2562, 7
2563, 2563, 25
2564, 2564, 22
2566, 2566, 37
2567, 2567, 21
2568, 2568, 16
2568, 2586, 3
2569, 2569, 15
2570, 2570, 8
2571, 2571, 6
2571, 4054, 1
2572, 2572, 10
2573, 2573, 7
2574, 2574, 41
2575, 2575, 22
2576, 2576, 33
2577, 2577, 11
2578, 2578, 5
2578, 1427, 6
2579, 2579, 11
2580, 2580, 18
2581, 2581, 7
2582, 2582, 7
2583, 2583, 14
2584, 2584, 18
2585, 2585, 18
2586, 2586, 21
2587, 2587, 16
2588, 2588, 42
2589, 2589, 33
2590, 2590, 28
2591, 2591, 21
2592, 2592, 18
2593, 2593, 66
2594, 2594, 29
2595, 2595, 28
2596, 2596, 33
2596, 2198, 1
2597, 2597, 22
2598, 2598, 17
2599, 2599, 58
2600, 2600, 22
2601, 2601, 13
2602, 2602, 35
2603, 2603, 18
2604, 2604, 16
2605, 2605, 19
2606, 2606, 23
2607, 2607, 2
2608, 2608, 29
2609, 2609, 79
2609, 523, 17
2609, 1821, 4
2610, 2610, 2
2611, 2611, 33
2612, 2612, 18
2613, 2613, 14
2614, 2614, 6
2615, 2615, 29
2616, 2616, 11
2617, 2617, 20
2618, 2618, 37
2619, 2619, 15
2620, 2620, 13
2621, 2621, 27
2622, 2622, 25
2623, 2623, 14
2624, 2624, 16
2625, 2625, 9
2626, 2626, 14
2627, 2627, 11
2628, 2628, 14
2629, 2629, 25
2630, 2630, 11
2631, 2631, 4
2632, 2632, 35
2633, 2633, 14
2634, 2634, 15
2635, 2635, 28
2636, 2636, 38
2637, 2637, 14
2638, 2638, 25
2639, 2639, 7
2639, 4054, 1
2640, 2640, 11
2641, 2641, 3
2642, 2642, 5
2643, 2643, 25
2644, 2644, 18
2644, 2878, 1
2645, 2645, 26
2646, 2646, 15
2647, 2647, 9
2648, 2648, 44
2649, 2649, 21
2650, 2650, 2
2651, 2651, 6
2652, 2652, 11
2653, 2653, 15
2654, 2654, 8
2655, 2655, 18
2656, 2656, 23
2657, 2657, 24
2658, 2658, 14
2659, 2659, 13
2660, 2660, 24
2661, 2661, 7
2662, 2662, 38
2663, 2663, 23
2664, 2664, 25
2665, 2665, 4
2666, 2666, 20
2667, 2667, 5
2668, 2668, 28
2668, 2794, 5
2669, 2669, 17
2670, 2670, 24
2671, 2671, 50
2672, 2672, 26
2672, 2453, 3
2673, 2673, 2
2674, 2674, 10
2675, 2675, 31
2676, 2676, 17
2677, 2677, 11
2678, 2678, 7
2679, 2679, 9
2679, 4054, 1
2680, 2680, 45
2681, 2681, 35
2682, 2682, 32
2683, 2683, 8
2684, 2684, 11
2685, 2685, 11
2686, 2686, 16
2687, 2687, 7
2688, 2688, 18
2689, 2689, 12
2690, 2690, 5
2691, 2691, 16
2692, 2692, 16
2693, 2693, 9
2694, 2694, 27
2695, 2695, 27
2696, 2696, 50
2697, 2697, 29
2698, 2698, 12
2699, 2699, 7
2700, 2700, 13
2701, 2701, 15
2702, 2702, 11
2703, 2703, 15
2704, 2704, 11
2705, 2705, 9
2706, 2706, 11
2707, 2707, 11
2708, 2708, 24
2709, 2709, 8
2710, 2710, 11
2711, 2711, 9
2712, 2712, 18
2713, 2713, 17
2714, 2714, 8
2715, 2715, 10
2716, 2716, 8
2717, 2717, 10
2718, 2718, 2
2719, 2719, 6
2720, 2720, 28
2721, 2721, 14
2722, 2722, 10
2723, 2723, 12
2724, 2724, 28
2725, 2725, 26
2726, 2726, 17
2727, 2727, 4
2728, 2728, 22
2729, 2729, 8
2730, 2730, 18
2731, 2731, 15
2732, 2732, 9
2733, 2733, 12
2734, 2734, 38
2735, 2735, 35
2736, 2736, 5
2737, 2737, 25
2738, 2738, 32
2739, 2739, 15
2740, 2740, 13
2741, 2741, 13
2742, 2742, 18
2743, 2743, 9
2745, 2745, 33
2746, 2746, 17
2747, 2747, 17
2748, 2748, 17
2749, 2749, 10
2750, 2750, 48
2751, 2751, 6
2752, 2752, 13
2753, 2753, 10
2753, 4054, 1
2754, 2754, 4
2755, 2755, 4
2756, 2756, 21
2757, 2757, 22
2758, 2758, 19
2759, 2759, 18
2760, 2760, 11
2761, 2761, 19
2762, 2762, 18
2763, 2763, 5
2764, 2764, 17
2765, 2765, 16
2766, 2766, 16
2767, 2767, 18
2768, 2768, 3
2769, 2769, 1
2769, 61231, 24
2770, 2770, 7
2770, 70, 1
2771, 2771, 3
2772, 2772, 19
2773, 2773, 23
2774, 2774, 15
2775, 2775, 18
2776, 2776, 37
2777, 2777, 45
2778, 2778, 25
2779, 2779, 22
2780, 2780, 12
2781, 2781, 27
2782, 2782, 35
2783, 2783, 20
2784, 2784, 17
2785, 2785, 69
2786, 2786, 2
2787, 2787, 15
2788, 2788, 23
2789, 2789, 31
2790, 2790, 11
2791, 2791, 47
2791, 738, 3
2792, 2792, 27
2792, 2746, 1
2793, 2793, 27
2794, 2794, 17
2795, 2795, 36
2796, 2796, 14
2797, 2797, 12
2798, 2798, 34
2798, 1, 9
2798, 158, 1
2798, 1714, 1
2799, 2799, 14
2799, 963, 2
2800, 2800, 46
2801, 2801, 18
2802, 2802, 44
2803, 2803, 9
2804, 2804, 12
2805, 2805, 18
2806, 2806, 27
2807, 2807, 20
2808, 2808, 12
2809, 2809, 6
2810, 2810, 5
2811, 2811, 9
2812, 2812, 4
2813, 2813, 25
2814, 2814, 12
2815, 2815, 42
2816, 2816, 5
2817, 2817, 14
2818, 2818, 10
2819, 2819, 5
2820, 2820, 17
2820, 4242, 1
2821, 2821, 43
2822, 2822, 15
2823, 2823, 41
2824, 2824, 6
2825, 2825, 18
2826, 2826, 12
2827, 2827, 15
2828, 2828, 34
